iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
SRB,Europe,Serbia,2020-02-27,,,,,,,,,,,,,,,,,,,,,,9.0,25.0,4,1,,,,,people tested,,,,,,,,,,,,,,13.89,6871547.0,80291,41.2,17366,,14048881,,439415,10.08,37.7,40.2,97719,5609,76.0,806,,,,
SRB,Europe,Serbia,2020-02-28,,,,,,,,,,,,,,,,,,,,,,5.0,30.0,4,1,,,,,people tested,,,,,,,,,,,,,,13.89,6871547.0,80291,41.2,17366,,14048881,,439415,10.08,37.7,40.2,97719,5609,76.0,806,,,,
SRB,Europe,Serbia,2020-02-29,,,,,,,,,,,,,,,,,,,,,,3.0,33.0,5,0.0,,,,,people tested,,,,,,,,,,,,,,13.89,6871547.0,80291,41.2,17366,,14048881,,439415,10.08,37.7,40.2,97719,5609,76.0,806,-426.6,-2.19,0.86,-62.0820901028546
SRB,Europe,Serbia,2020-03-01,,,,,,,,,,,,,,,,,,,,,,3.0,36.0,5,0.0,,,,,people tested,,,,,,,,,,,,,,13.89,6871547.0,80291,41.2,17366,,14048881,,439415,10.08,37.7,40.2,97719,5609,76.0,806,,,,
SRB,Europe,Serbia,2020-03-02,,,,,,,,,,,,,,,,,,,,,,9.0,45.0,7,1,,,,,people tested,,,,,,,,,,,,,,13.89,6871547.0,80291,41.2,17366,,14048881,,439415,10.08,37.7,40.2,97719,5609,76.0,806,,,,
SRB,Europe,Serbia,2020-03-03,,,,,,,,,,,,,,,,,,,,,,1.0,46.0,7,0.0,,,,,people tested,,,,,,,,,,,,,,13.89,6871547.0,80291,41.2,17366,,14048881,,439415,10.08,37.7,40.2,97719,5609,76.0,806,,,,
SRB,Europe,Serbia,2020-03-04,,,,,,,,,,,,,,,,,,,,,,4.0,50.0,7,1,5.0,1,,,people tested,,,,,,,,,,,,,,13.89,6871547.0,80291,41.2,17366,,14048881,,439415,10.08,37.7,40.2,97719,5609,76.0,806,,,,
SRB,Europe,Serbia,2020-03-05,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,1,,,people tested,,,,,,,,,,,,,,13.89,6871547.0,80291,41.2,17366,,14048881,,439415,10.08,37.7,40.2,97719,5609,76.0,806,,,,
SRB,Europe,Serbia,2020-03-06,1.0,1.0,,,,,146,146,,,,,,,,,,,,,,,67.0,0.01,,5.0,1,,,people tested,,,,,,,,,,,,,,13.89,6871547.0,80291,41.2,17366,,14048881,,439415,10.08,37.7,40.2,97719,5609,76.0,806,,,,
SRB,Europe,Serbia,2020-03-07,1.0,0.0,,,,,146,0.0,,,,,,,,,,,,,,24.0,91.0,13,3,8.0,1,,,people tested,,,,,,,,,,,,,,13.89,6871547.0,80291,41.2,17366,,14048881,,439415,10.08,37.7,40.2,97719,5609,76.0,806,,,,
SRB,Europe,Serbia,2020-03-08,1.0,0.0,,,,,146,0.0,,,,,,,,,,,,,,3.0,94.0,14,0.0,8.0,1,,,people tested,,,,,,,,,,,,,,13.89,6871547.0,80291,41.2,17366,,14048881,,439415,10.08,37.7,40.2,97719,5609,76.0,806,,,,
SRB,Europe,Serbia,2020-03-09,1.0,0.0,,,,,146,0.0,,,,,,,,,,,,,,7.0,101.0,15,1,8.0,1,,,people tested,,,,,,,,,,,,,,13.89,6871547.0,80291,41.2,17366,,14048881,,439415,10.08,37.7,40.2,97719,5609,76.0,806,,,,
SRB,Europe,Serbia,2020-03-10,5.0,4.0,,,,,728,582,,,,,,,,,,,,,,16.0,117.0,17,2,10.0,1,,,people tested,,,,,,,,,,,,,,13.89,6871547.0,80291,41.2,17366,,14048881,,439415,10.08,37.7,40.2,97719,5609,76.0,806,,,,
SRB,Europe,Serbia,2020-03-11,12.0,7.0,1714,,,,1746,1019,249,,,,,,,,,,,,,34.0,151.0,22,5,14.0,2,0.1224,8.2,people tested,,,,,,,,,,,,,,25.0,6871547.0,80291,41.2,17366,,14048881,,439415,10.08,37.7,40.2,97719,5609,76.0,806,,,,
SRB,Europe,Serbia,2020-03-12,19.0,7.0,2714,,,,2765,1019,395,,,,,,,,,,,,,34.0,185.0,27,5,18.0,3,0.1508,6.6,people tested,,,,,,,,,,,,,,25.0,6871547.0,80291,41.2,17366,,14048881,,439415,10.08,37.7,40.2,97719,5609,76.0,806,,,,
SRB,Europe,Serbia,2020-03-13,35.0,16.0,4857,,,,5093,2328,707,,,,,,,,,,,,,54.0,239.0,35,8,25.0,4,0.1943,5.1,people tested,,,,,,,,,,,,,,25.0,6871547.0,80291,41.2,17366,,14048881,,439415,10.08,37.7,40.2,97719,5609,76.0,806,,,,
SRB,Europe,Serbia,2020-03-14,46.0,11.0,6429,,,,6694,1601,936,,,,,,,,,,,,,29.0,268.0,39,4,25.0,4,0.2572,3.9,people tested,,,,,,,,,,,,,,25.0,6871547.0,80291,41.2,17366,,14048881,,439415,10.08,37.7,40.2,97719,5609,76.0,806,,,,
SRB,Europe,Serbia,2020-03-15,48.0,2.0,6714,,,,6985,291,977,,,,,,,,,,,,,15.0,283.0,41,2,27.0,4,0.2487,4.0,people tested,,,,,,,,,,,,,,49.07,6871547.0,80291,41.2,17366,,14048881,,439415,10.08,37.7,40.2,97719,5609,76.0,806,,,,
SRB,Europe,Serbia,2020-03-16,55.0,7.0,7714,,,,8004,1019,1123,,,,,,,,,,,,,33.0,316.0,46,5,31.0,5,0.2488,4.0,people tested,,,,,,,,,,,,,,66.67,6871547.0,80291,41.2,17366,,14048881,,439415,10.08,37.7,40.2,97719,5609,76.0,806,,,,
